ты Вы
тебе Вам
привет приветствую
пока досвидания
девушка барышня
девушке барышне
девушек барышень
девушки барышни
парень сударь
парню сударю
парней сударей
Если Коль
Твой Ваш
твой ваш
Твоя Ваша
твоя ваша
Тебя Вас 
тебя вас
Девушкам Барышням
Девушек Барышень
Девушками Барышнями
Девушках Барышнях
Девушку Барышню
Девушкой Барышней
Девушке Барышне
Парня Сударя
Парнем Сударем
Парне Сударе
Парням Сударям
Парнями Сударями
Здесь Зде
Огромный Зельный
Огромная Зельная
Огромное Зельное
Огромные Зельные
Глаз Око
Глаза Очи
Глазу Оку
Глазом Оком
Глазам Очам
Глазами Очами
Глазах Очах
Какой Экий
Какая Экая
Красивый Красный
Красивая Красна
Красивое Красно
Обманывать Льстить
Обманываю Льщу
Обманывает Льстит
Обманывают Льстят
Жестокий Лютый
Жестокая Лютая
Жестокое Лютое
Жестокие Лютые
Звать Величать
Хотеть Желать
Хочу Желаю
Хочет Желает
Хотят Желают
Есть Трапезничать
Ем Трапезничаю
Ест Трапезничает
Едят Трапезничают
Спать Почивать
Сплю Почиваю
Спит Почивает
Спят Почивают
Хороший Добрый
Хорошо Гоже
Хорошая Добрая
Хорошее Доброе
Хорошие Добрые
Вдруг Авось
Наверное Небось
Мальчик Хлопец
Мальчики Хлопцы
Мальчика Хлопца
Мальчику Хлопцу
Мальчиком Хлопцем
Мальчике Хлопце
Мальчиков Хлопцев
Мальчикам Хлопцам
Мальчиками Хлопцами
Мальчиках Хлопцах
Пойдем Извольте
Откуда Отколь
Отсюда Отсель
Упрямлюсь Артачусь
Упрямится Артачится
После Опосля
Грустно Горестно
Мама Матушка
Маму Матушку
Маме Матушке
Мамой Матушкой
Папа Батюшка
Папу Батюшку
Папе Батюшке
Папой Батюшкой
девушкам барышням
девушек барышень
девушками барышнями
девушках барышнях
девушку барышню
девушкой барышней
парня сударя
парнем сударем
парне сударе
парням сударям
парнями сударями
здесь зде
огромный зельный
огромная зельная
огромное зельное
огромные зельные
глаз око
глаза очи
глазу оку
глазом оком
глазам очам
глазами очами
глазах очах
какой экий
какая экая
красивый красный
красивая красна
красивое красно
обманывать льстить
обманываю льщу
обманывает льстит
обманывают льстят
жестокий лютый
жестокая лютая
жестокое лютое
жестокие лютые
звать величать
хотеть желать
хочу желаю
хочет желает
хотят желают
есть трапезничать
ем трапезничаю
ест трапезничает
едят трапезничают
спать почивать
сплю почиваю
спит почивает
спят почивают
хороший добрый
хорошо гоже
хорошая добрая
хорошее доброе
хорошие добрые
вдруг авось
наверное небось
мальчик хлопец
мальчики хлопцы
мальчика хлопца
мальчику хлопцу
мальчиком хлопцем
мальчике хлопце
мальчиков хлопцев
мальчикам хлопцам
мальчиками хлопцами
мальчиках хлопцах
пойдем извольте
откуда отколь
отсюда отсель
упрямлюсь артачусь
упрямится артачится
упрямятся артачатся
после опосля
грустно горестно
мама матушка
маму матушку
маме матушке
мамой матушкой
папа батюшка
папу батюшку
папе батюшке
папой батюшкой


